01/01/2024,HUFAMAG PLUS TAB,LEXAPRAM TAB,EMTURNAS 650 MG,OMEPRAZOLE 20 MG,GRANTUSIF,TEOSAL,VIT C IPI,"GRATAZONE 0,5 MG",ANELAT,VASTIGO,,,,
01/01/2024,AMLODIPINE 10 MG (HJ),TIFESTAN FORTE 500 MG,MEXON,HUFAMAG PLUS SY 60 ML,RANITIDIN 150 MG,,,,,,,,,
01/01/2024,MASKER MULTI ONE PLS,CAPTOPRIL 25 MG (INF),PARATUSIN TAB,,,,,,,,,,,
01/01/2024,TRIOCID TAB,"DANASONE 0,5 MG",MOLEXFLU,ALLUPURINOL 100 MG,DUMIN RECTAL 125 MG2.5 ML,,,,,,,,,
01/01/2024,VIT C 1000 SIDOMUNCUL (BOX),SAKATONIK ABC ANGGUR,"JARUM AKUPUNTUR 0,25 X 25 MM",NEOZEP,,,,,,,,,,
01/01/2024,CENDO XITROL TTS MATA 5 ML,,,,,,,,,,,,,
01/01/2024,DEXTEEM PLUS,METFORMIN 500 MG,ETABION,,,,,,,,,,,
01/01/2024,AMLODIPINE 5 MG (BERNO),SANGOBION CAPS,VOLTADEX 50 MG,METYL PRED 4 MG (DEXA),,,,,,,,,,
01/01/2024,DAPYRIN 500 TAB,OMEGTAMIN,LICOSTAN 500 MG,MICROGYNON LIBI PIL KB,PUYER NO 16,SIMVASTATIN 10 MG,AMLODIPINE 10 MG (HJ),,,,,,,
01/01/2024,CANDESARTAN 8 MG (DEXA),,,,,,,,,,,,,
01/01/2024,KLIP KECIL (BALL),,,,,,,,,,,,,
01/01/2024,DECOLSIN,,,,,,,,,,,,,
01/01/2024,CETIRIZINE 10 MG (NOVELL),ALPARA TAB,COMBANTRIN CAIR,,,,,,,,,,,
01/01/2024,COLDREXIN SY 60 ML,SANGOBION CAPS,RENADINAC 50 MG,BIOMEGA,"LICODEXON 0,5 MG",,,,,,,,,
01/01/2024,DAPYRIN 500 TAB,RHEMAFAR 4 MG,DEXTEEM PLUS,FARIZOL 500 MG,CAVIPLEX TAB,,,,,,,,,
01/01/2024,PARAMEX,MIXAGRIP FLU,OSKADON,NEO RHEUMACYL (10 TABLET),OSKADON SP,HOT IN CREAM 60 ML,KEJI BELING BRD,FRESH CARE GREEN TEA,PROMAG,TOLAK ANGIN CAIR,,,,
01/01/2024,BYE BYE FEVER BAYI,LOPAMID,,,,,,,,,,,,
01/01/2024,PANTOZOL 20 MG,INPEPSA SY 100 ML,,,,,,,,,,,,
01/01/2024,NATRIUM DIKLOFENAK 50 MG (NVL),PHENYTOIN,METYL PRED 8 MG,ULTRASILINE CR 5 GR,ALPARA TAB,,,,,,,,,
01/01/2024,PASABA FLU SY 60 ML,,,,,,,,,,,,,
01/01/2024,DOMPERIDONE 10 MG,CAPSUL KOSONG 0,LAGESIL TAB,MERISLON 12 MG,LAPISTAN,,,,,,,,,
01/01/2024,PIROXICAM 20 MG (KF),OMEPRAZOLE 20 MG NOVEL,"MOLACORT 0,75 MG",RENADINAC 50 MG,MIXALGIN,,,,,,,,,
01/01/2024,SPIRONOLACTON 25 MG,PIROXICAM 10 MG (TRIFA),AMLODIPINE 10 MG (HJ),GLIMEPIRIDE 1 (DEXA),CANDESARTAN 16 MG (DEXA),OPISTAN 500 MG,SIMVASTATIN 20 MG (BERNO),METYL PRED 4 MG (DEXA),,,,,,
01/01/2024,CAVIPLEX TAB,PRONICY,,,,,,,,,,,,
01/01/2024,ANTIMO DEWASA,NEO RHEUMACYL (20 TABLET),CETIRIZINE 10 MG (HJ),CETIRIZINE 10 MG (NOVELL),THERMOMETER DIGITAL,ANTANGIN CAIR,GPU SEREH 60 ML,TOLAK ANGIN FLU SACH,NISAGON CR,CAVIPLEX CDEZ STRIP,OMEPRAZOLE 20 MG,MADU MAGO,,
01/01/2024,AMLODIPINE 10 MG (BERNO),CANDESARTAN 8 MG (DEXA),,,,,,,,,,,,
01/01/2024,BRONCHIFAR TAB,METYL PRED 4 MG (DEXA),MELOXICAM 15 MG (DEXA),,,,,,,,,,,
01/01/2024,COPARCETIN TAB,DEXTEEM PLUS,PI KANG SHUANG 5 GR,OBH COMBI ANAK JERUK 60 ML,BIROPYRON,"SCANDEXON 0,5 MG",RENADINAC 50 MG,,,,,,,
01/01/2024,ROVERTON TAB,CALORTUSIN TAB,POLOFAR PLUS,,,,,,,,,,,
01/01/2024,INTERHISTIN,ALBUSMIN STRIP,,,,,,,,,,,,
01/01/2024,AMLODIPINE 5 MG (BERNO),BEVALEX CR,,,,,,,,,,,,
01/01/2024,"MOLACORT 0,75 MG",PIROXICAM 20 MG (KF),NEUROBION 5000 TAB,,,,,,,,,,,
01/01/2024,FRESH CARE SPLASH FRUIT,SANMOL DROP,,,,,,,,,,,,
01/01/2024,DEXTAFEN,CATAFLAM 50 MG,OVISKIN CR 10 GR,,,,,,,,,,,
01/01/2024,DEXANTA TAB,LOPAMID,ZORALIN CR 15 GR,FARMOTEN 25 MG,PRONICY,"DEXA-M 0,75 MG",,,,,,,,
01/01/2024,APIALYS DROPS,SANGOBION CAPS,ARDIUM 500 MG,MEDICREPE 7.5CM X 4 M,,,,,,,,,,
01/01/2024,METYL PRED 4 MG (DEXA),NATRIUM DIKLOFENAK 50 MG (NVL),PHENYTOIN,DEPAKOTE ER 500 MG,,,,,,,,,,
01/01/2024,WOODS ANTITUSSIVE 60 ML,FRESH CARE HOT,EVER E 250 KAPS ISI 12,METYL PRED 4 MG (DEXA),,,,,,,,,,
01/01/2024,DIVOLTAR 50 MG,"NUFADEX M 0,75 MG",POLOFAR PLUS,,,,,,,,,,,
01/01/2024,AMLODIPINE 10 MG (HJ),RENABETIC,GLUDEPATIC 500 MG,YEKAPONS 500 MG,"NUFADEX M 0,75 MG",SIMVASTATIN 20 MG (BERNO),,,,,,,,
01/01/2024,FRESH CARE GREEN TEA,FRESH CARE SPLASH FRUIT,FRESH CARE CITRUS,FRESH CARE HOT,,,,,,,,,,
01/01/2024,FRESH CARE SPLASH FRUIT,,,,,,,,,,,,,
01/01/2024,NEO RHEUMACYL (20 TABLET),ANDALAN PIL KB,CANDESARTAN 8 MG (DEXA),NEURALGIN,,,,,,,,,,
01/01/2024,MINYAK IKAN,BIOLYSIN KIDS ANGGUR TAB,TILUNG KAPS,ACYCLOVIR CR 5 GR,MIXALGIN,FASIDOL 650 MG,OMEPRAZOLE 20 MG,NATRIUM DIKLOFENAK 50 MG (NVL),,,,,,
01/01/2024,MOLEXFLU,RIVANOL 100 ML,BEVALEX CR,FAXIDENE 20 MG,"NUFADEX M 0,75 MG",GLUCOSAMINE MPL,,,,,,,,
01/01/2024,ANTASIDA DOEN (ERELA),NOSIB SALEP,,,,,,,,,,,,
01/01/2024,HUFAMAG PLUS SY 60 ML,POLYSILANE TAB,SCOPMA PLUS,VENTOLIN NEBUL,HUFAGRIP FORTE TAB,,,,,,,,,
01/01/2024,NEUROBION 5000 INJ,,,,,,,,,,,,,
01/01/2024,MICROGYNON LIBI PIL KB,OMEPRAZOLE 20 MG,VOSEA TAB,,,,,,,,,,,
01/01/2024,AMBROXOL 30 MG (PROMED),FG. TROCHES,,,,,,,,,,,,
01/01/2024,ACARBOSE 100 MG,MEFINTER 500 MG,ICHTIOL SALEP,KAPSIDA (KEMBANG BULAN),,,,,,,,,,
01/01/2024,INSTO REGULAR,CYCLOGYNON PIL KB,,,,,,,,,,,,
01/01/2024,CYCLOGYNON PIL KB,SPUIT 3 CC ONE MED,,,,,,,,,,,,
01/01/2024,TALERGI,,,,,,,,,,,,,
01/01/2024,DECOLSIN,"MOLACORT 0,75 MG",DIVOLTAR 50 MG,RENADINAC 50 MG,ALLETROL TTS MATA,SIMVASTATIN 10 MG,AMLODIPINE 10 MG (BERNO),,,,,,,
01/01/2024,ALPARA TAB,PK (KECIL),FLUTOP C SY 60 ML,CATAFLAM 50 MG,,,,,,,,,,
01/01/2024,SALONPAS KOYO 12X1,TOLAK ANGIN BOX,IMBOOST FORCE TAB,VITALONG C 4 TAB,,,,,,,,,,
01/01/2024,CETIRIZINE 10 MG (NOVELL),ACARBOSE 100 MG,OBP ITRASAL SY 60 ML,AMLODIPINE 5 MG (BERNO),ALPARA TAB,DEXTEEM PLUS,,,,,,,,
01/01/2024,OMEPRAZOLE 20 MG,BUFANTACID TAB,,,,,,,,,,,,
01/01/2024,HUFAMAG PLUS SY 60 ML,PRORIS 200 MG,,,,,,,,,,,,
01/01/2024,OBH NELCO SPECIAL PE 55 ML,PARATUSIN SY 60 ML,OBH COMBI PLUS 60 ML,,,,,,,,,,,
01/01/2024,"FARGOXIN 0,25 MG",SIMVASTATIN 20 MG (HJ),RAMIPRIL 10 MG,FUROSEMIDE (YRND),,,,,,,,,,
01/01/2024,DRAMAMIN TAB,,,,,,,,,,,,,
01/01/2024,ESEMAG CAIR,CAVIPLEX TAB,ANTASIDA DOEN (ERELA),PARATUSIN TAB,DECOLGEN,,,,,,,,,
01/01/2024,CURVIT SY 120 ML,LASERIN 60 ML,AMLODIPINE 5 MG (BERNO),NEURALGIN,,,,,,,,,,
01/01/2024,GABAPENTIN 300 MG,HANSAPLAST PLESTER ROL 1.25 CM X 5,ERLADERM N CR 5 GR,MINYAK TAWON CC,MOLEXFLU,,,,,,,,,
01/01/2024,MICROGYNON LIBI PIL KB,,,,,,,,,,,,,
01/01/2024,PONSTAN 500 MG STRIP,FOLAMIL GENIO,,,,,,,,,,,,
01/01/2024,VASTIGO,CETIRIZINE 10 MG (SAPHARINDO),,,,,,,,,,,,
01/01/2024,TEMPRA SYR 60 ML,SALICYL NELCO NON MENTOL (BIRU),,,,,,,,,,,,
01/01/2024,MUCOSTA 100 MG,OMEPRAZOLE 20 MG,LANSOPRAZOLE 30 MG (NUFA),,,,,,,,,,,
01/01/2024,"NUFADEX M 0,75 MG",PIROXICAM 20 MG (KF),CATAFLAM 50 MG,OBH COMBI PLUS 60 ML,TOLAK ANGIN BOX,VOLTADEX 50 MG,,,,,,,,
01/01/2024,"GLUCOVANCE 250 MG/1,25 MG",,,,,,,,,,,,,
01/01/2024,HISTIGO,,,,,,,,,,,,,
01/01/2024,DOMPERIDONE 10 MG,ASTRIA 4MG,ALPHAMOL 600 MG,INPEPSA SY 100 ML,,,,,,,,,,
01/01/2024,DERMAFIX T 10 X 25 CM,CANESTEN CR 5 GR,DEXTEEM PLUS,,,,,,,,,,,
01/01/2024,CAVIPLEX TAB,TERASMA,,,,,,,,,,,,
01/01/2024,PREDNISON 5MG (ERELA),VIT B COMPLEX (KF),PARACETAMOL 500 MG (GEN),OMEPRAZOLE 20 MG,,,,,,,,,,
01/01/2024,HISTIGO,AMLODIPINE 5 MG (BERNO),AMLODIPINE 10 MG (HJ),PK (KECIL),FATIGON SPIRIT,,,,,,,,,
01/01/2024,VIT B COMPLEX (KF),GABAPENTIN 300 MG,MINIASPI 80MG,NATRIUM DIKLOFENAK 50 MG (NVL),,,,,,,,,,
01/01/2024,LANSOPRAZOLE 30 MG (INF),,,,,,,,,,,,,
01/01/2024,LACTO B,,,,,,,,,,,,,
01/01/2024,SANMOL 500 MG,BODREX EXTRA,TOLAK ANGIN CAIR,GENTAMICIN CR 5 GR (KF),NEURALGIN,ANDALAN PIL KB,COUNTERPAIN 30 GR,,,,,,,
01/01/2024,SAKATONIK ABC JERUK,GG (TRIFATRIMAN) STRIP,PARACETAMOL 500 MG MEF,SOLDEXTAM,,,,,,,,,,
01/01/2024,GASELA,FARSIFEN 400 MG,GASTRUCID TAB,OMEDOM TAB,,,,,,,,,,
01/01/2024,MILAGROS,,,,,,,,,,,,,
01/01/2024,DEXTEEM PLUS,,,,,,,,,,,,,
01/01/2024,NACL 500 ML,,,,,,,,,,,,,
01/01/2024,ANDALAN PIL KB,ZORALIN CR 15 GR,ZORALIN TAB,ERLAMICETIN PLUS TTS MATA,AMLODIPINE 5 MG (HJ),PROMAG HERBAL CAIR,"GRATAZONE 0,5 MG",HUFRALGIN,SIMVASTATIN 10 MG,GRAFALIN 2 MG,PIROXICAM 20 MG (KF),AMLODIPINE 10 MG (HJ),,
01/01/2024,PARACETAMOL 500 MG MEF,MICROGYNON LIBI PIL KB,HAU FUNG SAN,NEURALGIN,PI KANG SHUANG 5 GR,,,,,,,,,
01/01/2024,LISINOPRIL 10MG,AMLODIPINE 10 MG (BERNO),ATORVASTATIN 10MG (FAHRENHEIT),TROMBO ASPILET,CLOPIDOGREL 75 MG (DEXA MEDIKA),,,,,,,,,
01/01/2024,SALBUTAMOL 2 MG,SPASMINAL,,,,,,,,,,,,
01/01/2024,DANEURON,HOT IN CREAM 60 ML,BUFACARYL,STANZA 500 MG,FENAREN TAB,,,,,,,,,
01/01/2024,FENAREN TAB,DANEURON,,,,,,,,,,,,
01/01/2024,ASAM MEF (ERTTRIMAN),BYE BYE FEVER BAYI,INZA,MIXAGRIP FLU,NEO RHEUMACYL (20 TABLET),,,,,,,,,
01/01/2024,SUCRALFAT SY (DEXA),SALONPAS KOYO 12X1,HERBAKOF 60 ML,AMLODIPINE 10 MG (BERNO),PSP,SANMOL 500 MG,,,,,,,,
01/01/2024,ESTER C ISI 4,SPIRONOLACTON 100 MG,SANMAG SY 100 ML,VERMIN 12 KAPS,LACTULAX SYR 60 ML,NATRIUM DIKLOFENAK 50 MG (NVL),OMERIC 100 MG,AMLODIPINE 5 MG (HJ),MIXALGIN,,,,,
01/01/2024,DERMAFIX 10 X 12 CM,TEGADERM 6X7 CM,OCUSON TAB,METFORMIN 500 MG,ALLUPURINOL 300 MG,,,,,,,,,
01/01/2024,SANADRYL EXP SY 60 ML,PARATUSIN TAB,,,,,,,,,,,,
01/01/2024,DRAGON MENTHOL 8 GR,ALOFAR 300 MG,SIMVASTATIN 10 MG,HUFAGRIP FLU SY 60 ML,BATUGIN 120 ML,VITAL TETES TELINGA,,,,,,,,
01/01/2024,MEFINAL 500 MG,FLAMAR 50 MG,CYCLOFEM,DEPO HARMONIS 1 CC,,,,,,,,,,
01/01/2024,OMEPRAZOLE 20 MG,OBH COMBI PLUS 60 ML,NEURALGIN,SANMOL 500 MG,TREMENZA TAB,,,,,,,,,
01/01/2024,IM COCO 350 ML,PROCOLD,METYL PRED 4 MG (DEXA),HOT IN CREAM DCL 60 GR,AMLODIPINE 10 MG (BERNO),OPTIMAX TAB,LACTO B,SANMOL 500 MG,,,,,,
01/01/2024,PARCOK 25 ML,TRANSPULMIN BB 10 GR,,,,,,,,,,,,
01/01/2024,GLIBENCLAMIDE 5 MG (INF),POLYSILANE TAB,CAPTOPRIL 25MG (DEXA),NEURALGIN,,,,,,,,,,
01/01/2024,FLUMIN TAB,TOLAK ANGIN BOX,OSTEOCAL TAB,BICNAT TAB,,,,,,,,,,
01/01/2024,AMLODIPINE 5 MG (BERNO),RAMIPRIL 5 MG,,,,,,,,,,,,
01/01/2024,ACLONAC 50 MG,CORTIDEX,LAGESIL TAB,NEUROPYRON V,GPU KRIM 150 GR,,,,,,,,,
01/01/2024,METFORMIN 500 MG,LAGESIL TAB,SCOPMA PLUS,,,,,,,,,,,
01/01/2024,TRANSPULMIN BB 10 GR,MUCERA DROPS,,,,,,,,,,,,
01/01/2024,UNDERPAD,,,,,,,,,,,,,
01/01/2024,ANDALAN PIL KB,ONDANSETRON 4 MG (NULAB),SAKATONIK ABC ANTARIKSA,SIMVASTATIN 20 MG (BERNO),COHISTAN SY 60 ML,PLOSSA,GENTAMICIN CR 5 GR (KF),,,,,,,
01/01/2024,CETIRIZINE 10 MG (NULAB),"SCANDEXON 0,5 MG",FLUCADEX TAB,PARACETAMOL 500 MG (GEN),OMEPRAZOLE 20 MG,,,,,,,,,
01/01/2024,TRANSPULMIN BB 20 GR,,,,,,,,,,,,,
01/01/2024,ITRABAT SY 60 ML,ALLERIN SY 60 ML,,,,,,,,,,,,
01/01/2024,ERLAMICETIN TTS MATA,MICROGYNON LIBI PIL KB,NATURE E 300 ISI 32 CAP,,,,,,,,,,,
01/01/2024,CETIRIZINE 10 MG (NOVELL),PI KANG SHUANG 5 GR,,,,,,,,,,,,
01/01/2024,SANADRYL EXP SYR 120 ML,AMLODIPINE 10 MG (BERNO),AMLODIPINE 5 MG (BERNO),PROMAG,ALPARA TAB,IBUPROFEN 400 MG,PARACETAMOL 500 MG MEF,,,,,,,
01/01/2024,OMEPRAZOLE 20 MG,TERMOREX PLUS 60 ML,CDR EFF ISI 15,LAMBUCID TAB,,,,,,,,,,
01/01/2024,DIVOLTAR 50 MG,ANDALAN FE PIL KB,"CARBIDU 0,75 MG",HANSAPLAST PLESTER ROL 1.25 CM X 5,TRIANTA TAB,DEXTAMIN STRIP,KALCINOL N CR 5,HEMAVITON ACTION,ENTROSTOP ANAK,ANTIMO ANAK,,,,
01/01/2024,KETOCONAZOLE CR 10 GR (DEXA),MEDIXON 4 MG,TEGADERM 6X7 CM,PARACETAMOL 500 MG MEF,PASABA FLU SY 60 ML,CTM CITO,VENTOLIN NEBUL,POLYSILANE TAB,EPERISON 50 MG (MEDIXON),OXICOBAL,TEGADERM 10 X 25 CM,BECOM C,LACTO B,
01/01/2024,FASIDOL 650 MG,CALADINE CAIR KECIL,MIXALGIN,AMLODIPINE 5 MG (HJ),,,,,,,,,,
01/01/2024,NICHOFLAM TAB,DULCOLAX ISI 10,VIT C IPI,SCABIMITE 10 GR,,,,,,,,,,
01/01/2024,MICROLAX SUPP 5 ML,MYLANTA SY 50 ML,,,,,,,,,,,,
01/01/2024,"CARBIDU 0,75 MG",ROVERTON TAB,FASIDOL 500 MG,,,,,,,,,,,
01/01/2024,KOOL FEVER ADULT,KETOROLAC TAB NULAB,"CLONIDINE 0,15 MG (INDO FARMA)",,,,,,,,,,,
01/01/2024,NEUROBION 5000 INJ,NEURALGIN,DEXTAMIN STRIP,HANSAPLAST PLESTER ROL 1.25 CM X 5,KASSA STERIL INDOLAB,,,,,,,,,
01/01/2024,NEUROBION 5000 INJ,ZENTRA,ETHAMBUTOL 500MG (BERNO),PYRAZINAMIDE 500 MG,,,,,,,,,,
01/01/2024,INTERHISTIN,LANSOPRAZOLE 30 MG (INF),,,,,,,,,,,,
01/01/2024,MICROGYNON LIBI PIL KB,,,,,,,,,,,,,
01/01/2024,SPUIT 20 CC TERUMO,,,,,,,,,,,,,
01/01/2024,ULTRACAP,GUANISTREP SY 60 ML,CENDO LYTEERS MD,CATAFLAM 50 MG,,,,,,,,,,
01/01/2024,NATURE E ADVANCE 16 CAPS,CATAFLAM 50 MG,,,,,,,,,,,,
01/01/2024,OMEPRAZOLE 20 MG,OBH ITRASAL SY 60 ML,ALPARA TAB,FARSIFEN PLUS TAB,CAVIPLEX TAB,,,,,,,,,
01/01/2024,NATRIUM DIKLOFENAK 50 MG (NVL),BAMGETOL,AMLODIPINE 10 MG (BERNO),TEOSAL,AMBROXOL 30 MG (PROMED),,,,,,,,,
01/01/2024,HELTISKIN 5 GR,,,,,,,,,,,,,
01/01/2024,BIOLYSIN KIDS ANGGUR TAB,MINYAK IKAN,,,,,,,,,,,,
01/01/2024,PRIMOLUT N,,,,,,,,,,,,,
01/01/2024,ANDALAN PIL KB,PARACETAMOL 500 MG MEF,DEXAMETHASONE GENERIK,,,,,,,,,,,
01/01/2024,WE CARE XL 8,,,,,,,,,,,,,
01/01/2024,HISTAPAN,FLAMAR EMULGEL 20 GR,MICONAZOLE CR 10 GR,,,,,,,,,,,
01/01/2024,GLIMEPIRIDE 4 (DEXA),GLIMEPIRIDE 2 (DEXA),,,,,,,,,,,,
01/01/2024,"BENZOLAC 2,5% GR",,,,,,,,,,,,,
01/01/2024,TILUNG KAPS,LACTO B,,,,,,,,,,,,
01/01/2024,COMBANTRIN CAIR,PARACETAMOL 500 MG MEF,NATURE E 16 CAPS,,,,,,,,,,,
01/01/2024,MAGTRAL SY 120 ML,PARACETAMOL 500 MG (GEN),PLANOTAB PIL KB,,,,,,,,,,,
01/01/2024,MEXON,METYL PRED 8 MG,,,,,,,,,,,,
01/01/2024,PHENYTOIN,ATORVASTATIN 20MG (FAHRENHEIT),AMLODIPINE 5 MG (HJ),,,,,,,,,,,
01/01/2024,"MOLACORT 0,75 MG",PIROXICAM 20 MG (KF),ALLUPURINOL 100 MG,ALLUPURINOL 300 MG,,,,,,,,,,
01/01/2024,AMBROXOL 30 MG (PROMED),BYE BYE FEVER ANAK,DEXTEEM PLUS,FENAREN TAB,METYL PRED 8 MG,,,,,,,,,
01/01/2024,PHENYTOIN,DEXTAFEN,TISSUE SUPER MAGIC LOVERS FOR MAN,,,,,,,,,,,
01/01/2024,PHENYTOIN,DIVALPROEX SODIUM 250 MG,,,,,,,,,,,,
01/01/2024,SUTRA HITAM ISI 3,SAKATONIK ABC ANGGUR,PROMAG,,,,,,,,,,,
01/01/2024,SPUIT 3 CC BD,PERBAN 10 CM (PAK),IODINE POVIDON 30 ML (ONEMED),,,,,,,,,,,
01/01/2024,BAMBOO FOOT PATCH,PLOSSA,,,,,,,,,,,,
01/01/2024,HOT IN CREAM 120 GR TUBE,ANTANGIN TABLET,,,,,,,,,,,,
01/01/2024,BIO OIL 25 ML,,,,,,,,,,,,,
01/01/2024,SANMOL DROP,,,,,,,,,,,,,
01/01/2024,PROVE D3-1000 IU,,,,,,,,,,,,,
01/01/2024,TOLAK ANGIN CAIR,KLORFESON CR 10 GR,MIXAGRIP FLU & BATUK,SUCRALFAT SY (DEXA),SALONPAS KOYO 12X1,,,,,,,,,
01/01/2024,NATRIUM DIKLOFENAK 50 MG (NVL),CETIRIZINE 10 MG (NOVELL),PARACETAMOL 500 MG MEF,,,,,,,,,,,
01/01/2024,ANDALAN LAKTASI,,,,,,,,,,,,,
02/01/2024,NEW DIATAB,PROMAG,,,,,,,,,,,,
02/01/2024,TOLAK ANGIN CAIR,OTTOPAN SY 60 ML,,,,,,,,,,,,
02/01/2024,OBH COMBI BERDAHAK 100 ML,DECOLGEN,TOLAK ANGIN CAIR,,,,,,,,,,,
02/01/2024,ALOFAR 300 MG,POLIDENT 60 GR,SIMVASTATIN 20 MG (BERNO),,,,,,,,,,,
02/01/2024,HUFRALGIN,GLUDEPATIC 500 MG,GLIMEPIRIDE 2 (DEXA),,,,,,,,,,,
02/01/2024,ANTIMO DEWASA,OBH COMBI BERDAHAK 100 ML,DEGIROL ISI 10,,,,,,,,,,,
02/01/2024,ALBUSMIN STRIP,,,,,,,,,,,,,
02/01/2024,BODREX MIGRA,PHENYTOIN,BAMGETOL,,,,,,,,,,,
02/01/2024,OCUSON TAB,HOT IN CREAM DCL 30 GR,,,,,,,,,,,,
02/01/2024,METFORMIN 500 MG,MADU SUMBAWA PRIMA,,,,,,,,,,,,
02/01/2024,NICHOFLAM TAB,RENADINAC 50 MG,"CARBIDU 0,75 MG",PIROXICAM 20 MG (KF),"DEXAMETHASONE 0,75 MG HARSEN",NEURALGIN,CANDESARTAN 8 MG (DEXA),ALPARA TAB,HUFANEURON,CAPSUL 00,,,,
02/01/2024,AMLODIPINE 10 MG (BERNO),SIMVASTATIN 10 MG,METFORMIN 500 MG,,,,,,,,,,,
02/01/2024,GRISEOFULVIN 500 MG,,,,,,,,,,,,,
02/01/2024,NEURALGIN,HEMAVITON STAMINA PLUS,,,,,,,,,,,,
02/01/2024,FASIDOL 650 MG,BODREX EXTRA,PIROXICAM 20 MG (KF),"NUFADEX M 0,75 MG",,,,,,,,,,
02/01/2024,AMLODIPINE 10 MG (HJ),GLIMEPIRIDE 4 (DEXA),WELMOVE ISI 5,,,,,,,,,,,
02/01/2024,COOLING 5 PLUS (ORANGE),AMLODIPINE 5 MG (BERNO),,,,,,,,,,,,
02/01/2024,PANADOL COLD & FLU (HIJAU),TOLAK ANGIN CAIR,BODREX,,,,,,,,,,,
02/01/2024,ORALIT 200,FOLAXIN,METYL PRED 8 MG,MELOXICAM 15 MG (DEXA),BAMGETOL,RHEMAFAR 4 MG,ALBUSMIN STRIP,KETOROLAC 10 MG (NOVELL),,,,,,
02/01/2024,DIVOLTAR 50 MG,"CARBIDU 0,5 MG",NORVOM TAB,COPARCETIN TAB,AMLODIPINE 10 MG (BERNO),HUFANEURON,TRIANTA TAB,,,,,,,
02/01/2024,SIMVASTATIN 10 MG,SALONPAS HOT KOYO 12 x 1,AMLODIPINE 10 MG (BERNO),ASAM MEF (HJ),PROCOLD,TRODEX,CHLORAMFECORT H CR 10 GR,MICROFINE,ARKAVIT-C,,,,,
02/01/2024,CALLUSOL,,,,,,,,,,,,,
02/01/2024,RENADINAC 50 MG,"CARBIDU 0,75 MG",,,,,,,,,,,,
